"Category";"Time (MM:SS.SSS)";"Scrambler";"Date";"Penalty +2 (yes or no)";"DNF (yes or no)";"Section"
2x2x2;00:46.169;R' U' R F' U' R2 U2 F U' F U';2019-07-27 08:21;no;no;1564233618914;
2x2x2;00:56.251;R' F' U' R2 U2 R U' R2 U' R2 U';2019-07-22 07:16;no;yes;1563732945078;
2x2x2;00:22.698;U' R' F2 U' F U2 R U' R U' F;2019-07-22 07:14;no;no;1563732945078;
2x2x2;00:18.736;U2 R' F U' R2 U2 R' F' U' F' R;2019-07-22 07:13;no;no;1563732945078;
2x2x2;00:28.704;R' F U' R2 U' R2 F U' R2 U2 R';2019-07-22 07:12;no;no;1563732945078;
2x2x2;00:26.723;R' F U' R2 U' R2 F U' R2 U2 R';2019-07-22 07:05;no;yes;1563732945078;
2x2x2;00:21.488;R' F U' R2 U' R2 F U' R2 U2 R';2019-07-22 06:51;no;no;1563732945078;
2x2x2;00:13.506;R' F U' R2 U' R2 F U' R2 U2 R';2019-07-22 06:51;no;no;1563732945078;
2x2x2;00:55.170;R U' F U R2 U2 R' U R U' F';2019-07-22 06:49;no;yes;1563732945078;
2x2x2;00:43.483;R' F U R2 F U' R2 U2 R' U R';2019-07-22 06:47;no;no;1563732945078;
2x2x2;00:21.629;R F' R' U R' U' F U R U R;2019-07-22 06:44;no;no;1563732945078;
2x2x2;00:13.242;R' F U' R2 U' R2 F U' R2 U2 R';2019-07-22 06:43;no;no;1563732945078;
2x2x2;00:24.887;R' F' U' R2 U' R2 U2 R' U' R U;2019-07-22 06:39;no;no;1563732945078;
2x2x2;00:54.441;R' U R U' R' F R U R U2 F;2019-07-22 06:31;no;yes;1563732945078;
2x2x2;01:21.226;R F U' R U' R U R' F R U;2019-07-22 00:19;no;yes;1563732945078;
2x2x2;00:39.202;R' F U' F' U2 F R2 U2 R' U2 F;2019-07-22 00:17;no;no;1563732945078;
2x2x2;01:37.502;U' R2 U F R U' R' U R' U2 R;2019-07-22 00:14;no;yes;1563732945078;
2x2x2;01:09.340;U2 R U2 F' U' R2 F U' R' F U';2019-07-22 00:12;no;no;1563732945078;
2x2x2;00:35.143;R' F' U2 R U R' F R2 F' U2 R;2019-07-20 20:24;no;no;1563650257741;
2x2x2;01:01.856;U' F U' F R U R U' R2 F R';2019-07-20 20:23;no;no;1563650257741;
2x2x2;00:49.274;U2 R U2 R' U2 R U R' F U' F';2019-07-20 14:18;no;no;1563650257741;
3x3x3;01:05.963;R2 D' B2 D' F2 D L2 U' L2 B2 U L' F L2 R B' D' L2 U' F2 D;2019-09-02 09:16;no;no;1567433156950;
3x3x3;01:01.525;L R U2 F2 R' F2 L U' B' U L D' L' B' L R2 B' D2;2019-09-02 09:14;no;no;1567433156950;
3x3x3;00:52.621;R U' F B2 U' L' U' B' U2 B' R' F L2 F' U2 B D2 B';2019-09-02 09:13;no;no;1567433156950;
3x3x3;01:13.921;D' B2 U2 L' F2 B' U B' R2 B' U' R2 F' U2 R2 B2 D2 R2 F2;2019-09-02 09:11;no;no;1567433156950;
3x3x3;01:23.139;F2 R F2 L' B2 R2 B2 L' U2 L' D L' B2 F' U' L2 D2 L B' D2;2019-09-02 09:09;no;no;1567433156950;
3x3x3;00:59.861;F2 R F2 L' B2 R2 B2 L' U2 L' D L' B2 F' U' L2 D2 L B' D2;2019-09-02 09:07;no;no;1567433156950;
3x3x3;01:08.191;R2 U2 B2 R2 B2 L2 U' B2 D2 B' F2 D2 R F2 D' R2 D2 R F' D2;2019-08-13 20:23;no;no;1565745068306;
3x3x3;01:46.068;F2 R F2 L' B2 R2 B2 L' U2 L' D L' B2 F' U' L2 D2 L B' D2;2019-08-13 20:18;no;yes;1565745068306;
